"","LOCAL_AUTHORITY_LABEL","AtoC_12_16","DtoG_12_16","AtoC_13_17","DtoG_13_17","AtoC_14_18","DtoG_14_18","AtoC_15_19","DtoG_15_19","AtoC_16_20","DtoG_16_20","AtoC_17_21","DtoG_17_21","AtoC_18_22","DtoG_18_22","tenureclean"
"1","West Lothian",514,782,608,879,522,749,578,696,601,532,593,457,759,471,"rental (private)"
"2","West Dunbartonshire",135,300,174,348,188,298,194,276,231,296,266,241,292,245,"rental (private)"
"3","Stirling",234,460,268,553,288,531,317,554,408,617,494,641,614,697,"rental (private)"
"4","South Lanarkshire",773,1363,915,1607,885,1440,961,1351,1091,1350,1305,1394,1456,1410,"rental (private)"
"5","South Ayrshire",359,779,461,947,439,845,448,842,555,817,661,894,703,955,"rental (private)"
"6","Shetland Islands",34,101,37,123,40,147,29,149,28,135,23,162,37,184,"rental (private)"
"7","Scottish Borders",217,920,271,1132,277,1216,305,1364,337,1419,367,1500,420,1648,"rental (private)"
"8","Renfrewshire",511,922,608,1062,627,975,731,882,892,898,1049,958,1371,1059,"rental (private)"
"9","Perth and Kinross",438,1206,555,1523,554,1572,651,1644,749,1876,875,1958,1016,2171,"rental (private)"
"10","Orkney Islands",62,114,67,141,62,143,46,162,53,200,69,275,111,372,"rental (private)"
"11","North Lanarkshire",718,1404,842,1587,773,1303,765,1129,830,1046,985,1053,1151,1112,"rental (private)"
"12","North Ayrshire",443,1103,553,1302,502,1163,479,1032,471,874,506,790,572,800,"rental (private)"
"13","Moray",221,601,316,760,280,728,507,881,550,936,622,995,610,1057,"rental (private)"
"14","Midlothian",170,359,225,393,227,353,241,344,268,315,316,387,345,418,"rental (private)"
"15","Inverclyde",187,488,245,568,235,502,236,412,256,344,301,360,330,337,"rental (private)"
"16","Highland",399,1441,525,1889,521,1944,610,2050,752,2366,932,2622,1237,3228,"rental (private)"
"17","Glasgow City",3729,3995,4634,4739,4684,4316,5591,4313,6864,4736,7638,4788,8425,4900,"rental (private)"
"18","Fife",1067,2412,1329,2849,1367,2732,1448,2594,1700,2678,2078,2927,2357,3086,"rental (private)"
"19","Falkirk",286,550,343,623,263,530,286,486,315,395,378,383,453,397,"rental (private)"
"20","Eilean Siar",16,124,19,164,23,185,26,204,39,249,45,245,72,297,"rental (private)"
"21","Edinburgh City",3820,4323,4691,5084,4628,4669,6148,5166,8018,5831,9212,6264,10180,6503,"rental (private)"
"22","East Renfrewshire",147,282,205,350,195,297,180,255,190,250,210,255,214,248,"rental (private)"
"23","East Lothian",373,663,415,766,389,714,384,611,293,585,346,564,409,597,"rental (private)"
"24","East Dunbartonshire",198,349,227,407,208,381,224,364,197,316,196,319,228,302,"rental (private)"
"25","East Ayrshire",360,802,444,989,415,894,417,818,511,790,558,800,672,783,"rental (private)"
"26","Dundee City",1089,1682,1457,2066,1506,2072,1946,2127,2276,2249,2291,2131,2457,2157,"rental (private)"
"27","Dumfries and Galloway",317,1553,378,1920,344,1834,331,1821,332,1836,393,2016,550,2377,"rental (private)"
"28","Clackmannanshire",93,191,107,216,103,193,101,177,121,143,157,148,226,172,"rental (private)"
"29","Argyll and Bute",191,894,262,1082,276,1060,285,980,310,1000,354,1002,452,1255,"rental (private)"
"30","Angus",275,790,314,1000,298,909,341,937,386,1007,413,1115,539,1133,"rental (private)"
"31","Aberdeenshire",493,1439,590,1748,537,1842,560,1818,696,1824,764,1873,911,1949,"rental (private)"
"32","Aberdeen City",1250,1529,1538,1813,1483,1759,1865,2134,2250,2411,2816,2649,3366,2948,"rental (private)"
"33","00EM",NA,1,NA,2,NA,2,NA,1,NA,1,NA,1,NA,NA,"rental (private)"
"34","",263,24,331,39,348,45,555,50,960,87,1061,103,1360,103,"rental (private)"
